"egyptianculture","sub","wikidata"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Uronarti","http://www.wikidata.org/entity/Q496002"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Egyptian–Hittite_peace_treaty","http://www.wikidata.org/entity/Q253155"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Noph","http://www.wikidata.org/entity/Q16887603"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Mersa_Gawasis","http://www.wikidata.org/entity/Q1536350"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Scarab_ring","http://www.wikidata.org/entity/Q60744726"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Henna","http://www.wikidata.org/entity/Q10521987"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Festival_Songs_of_Isis_and_Nephthys","http://www.wikidata.org/entity/Q5445737"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Beauty_and_cosmetics_in_ancient_Egypt","http://www.wikidata.org/entity/Q3488951"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Kemetic","http://www.wikidata.org/entity/Q30715241"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Pharaonic_Tayma_inscription","http://www.wikidata.org/entity/Q7180697"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Ancient_Egyptian_agriculture","http://www.wikidata.org/entity/Q719699"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Ancient_Egyptian_race_controversy","http://www.wikidata.org/entity/Q4752832"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Ancient_Egyptian_retainer_sacrifices","http://www.wikidata.org/entity/Q4752833"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Land_reform_in_ancient_Egypt","http://www.wikidata.org/entity/Q22936469"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Mastaba","http://www.wikidata.org/entity/Q180927"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Bident","http://www.wikidata.org/entity/Q4904119"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Cemetery_GIS","http://www.wikidata.org/entity/Q1975262"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Gardens_of_ancient_Egypt","http://www.wikidata.org/entity/Q1471686"
"http://dbpedia.org/resource/Category:Ancient_Egypt","http://dbpedia.org/resource/Amarna_Era","http://www.wikidata.org/entity/Q19903268"
